x,x2,x3,d,quantity,x_c
24,570,13618,1,4251,4
12,156,1951,0,3710,-8
15,215,3144,0,4132,-5
13,169,2195,0,4191,-7
16,244,3801,0,5023,-4
20,392,7760,0,5748,0
13,168,2171,0,4278,-7
20,389,7683,0,5669,0
19,360,6836,0,4593,-1
17,299,5173,0,4656,-3
20,412,8349,1,5026,0
22,483,10623,1,5598,2
20,386,7592,0,5116,0
19,378,7358,0,4357,-1
28,804,22795,1,4412,8
21,431,8952,1,6319,1
24,555,13077,1,5366,4
20,412,8367,1,6662,0
16,256,4091,0,5470,-4
20,391,7734,0,4931,0
17,299,5180,0,4752,-3
30,895,26782,1,6275,10
23,531,12236,1,6835,3
20,408,8233,1,4785,0
18,341,6288,0,5098,-2
16,260,4199,0,3751,-4
27,736,19987,1,5459,7
22,502,11254,1,4473,2
28,787,22062,1,5803,8
20,399,7976,0,6707,0
23,514,11656,1,6129,3
25,635,15992,1,5091,5
26,699,18477,1,6328,6
13,157,1969,0,2667,-7
18,316,5611,0,6608,-2
26,674,17495,1,7088,6
16,245,3825,0,4868,-4
25,629,15776,1,4051,5
22,471,10219,1,6443,2
18,338,6211,0,7160,-2
26,660,16957,1,5714,6
8,57,433,0,6065,-12
16,257,4110,0,6222,-4
26,695,18306,1,6819,6
19,342,6335,0,4788,-1
17,303,5283,0,5836,-3
12,139,1644,0,5085,-8
17,287,4858,0,6198,-3
18,333,6064,0,5796,-2
21,459,9828,1,6472,1
18,332,6055,0,4909,-2
23,539,12518,1,4852,3
21,429,8900,1,7625,1
24,569,13577,1,7218,4
22,502,11234,1,4989,2
25,608,14998,1,4480,5
12,141,1677,0,6114,-8
19,371,7150,0,3574,-1
22,480,10511,1,5706,2
24,574,13751,1,5553,4
21,434,9035,1,5682,1
19,344,6375,0,5809,-1
28,764,21111,1,5969,8
20,420,8596,1,5252,0
17,291,4959,0,5130,-3
23,517,11754,1,4577,3
17,301,5224,0,5257,-3
27,748,20465,1,5058,7
21,451,9582,1,5622,1
23,548,12842,1,6164,3
18,316,5619,0,5614,-2
19,376,7286,0,6051,-1
19,376,7299,0,4566,-1
18,334,6097,0,5834,-2
29,822,23565,1,3944,9
36,1285,46072,1,4419,16
24,578,13890,1,3450,4
29,830,23930,1,6578,9
20,388,7641,0,3705,0
16,261,4222,0,5398,-4
17,274,4538,0,5550,-3
19,348,6483,0,3775,-1
16,270,4433,0,4653,-4
21,439,9213,1,6083,1
25,636,16054,1,7260,5
14,204,2906,0,4397,-6
17,298,5144,0,5318,-3
19,350,6545,0,4284,-1
15,213,3105,0,4436,-5
6,38,231,0,4927,-14
25,636,16022,1,4284,5
13,169,2205,0,5047,-7
23,514,11668,1,5973,3
15,215,3160,0,5966,-5
20,391,7736,0,4644,0
13,168,2178,0,6438,-7
13,180,2425,0,3960,-7
21,426,8785,1,7147,1
31,950,29277,1,5647,11
21,438,9177,1,6989,1
19,371,7148,0,4513,-1
19,346,6440,0,4449,-1
23,547,12790,1,4978,3
24,553,12996,1,7103,4
30,878,26007,1,4676,10
16,252,4001,0,6400,-4
14,198,2797,0,4346,-6
18,328,5930,0,2962,-2
17,276,4596,0,4546,-3
21,429,8876,1,4216,1
26,672,17410,1,5759,6
19,368,7060,0,5863,-1
22,505,11333,1,6224,2
10,96,935,0,6031,-10
20,414,8427,1,5881,0
19,369,7098,0,4749,-1
15,216,3172,0,4221,-5
7,54,392,0,4944,-13
14,205,2934,0,4075,-6
16,249,3935,0,4911,-4
22,475,10367,1,5887,2
13,168,2176,0,4339,-7
28,805,22829,1,3651,8
20,396,7888,0,5738,0
24,553,13016,1,4764,4
18,336,6158,0,4228,-2
21,426,8788,1,5442,1
18,329,5954,0,6278,-2
17,294,5035,0,4980,-3
26,665,17152,1,5815,6
24,582,14030,1,6725,4
17,280,4698,0,5068,-3
15,239,3696,0,6727,-5
16,264,4282,0,6581,-4
16,271,4459,0,5823,-4
22,484,10655,1,5982,2
17,281,4703,0,5065,-3
24,553,13022,1,7256,4
25,607,14940,1,5210,5
25,640,16183,1,6587,5
17,295,5078,0,4076,-3
20,383,7501,0,4588,0
15,234,3578,0,6576,-5
21,430,8926,1,4551,1
18,318,5678,0,4992,-2
15,235,3608,0,4614,-5
14,183,2474,0,3884,-6
13,180,2422,0,6707,-7
25,622,15528,1,5775,5
26,700,18518,1,6178,6
31,947,29143,1,5629,11
28,771,21390,1,6408,8
17,287,4851,0,5287,-3
21,426,8778,1,5384,1
21,438,9154,1,4036,1
25,624,15569,1,4763,5
14,187,2560,0,3168,-6
25,620,15434,1,4598,5
18,335,6118,0,4855,-2
22,466,10047,1,6475,2
21,452,9611,1,6980,1
24,591,14376,1,5398,4
20,418,8545,1,7501,0
14,205,2941,0,5444,-6
17,289,4924,0,7366,-3
13,160,2020,0,3617,-7
24,589,14303,1,5773,4
13,157,1967,0,5485,-7
24,559,13201,1,4029,4
31,991,31216,1,6056,11
10,108,1117,0,5478,-10
19,374,7219,0,7231,-1
22,483,10626,1,6430,2
23,544,12680,1,5485,3
23,517,11768,1,4867,3
18,327,5914,0,5522,-2
21,450,9535,1,6151,1
18,318,5675,0,3176,-2
26,672,17432,1,6584,6
17,287,4853,0,4571,-3
29,832,23988,1,3597,9
20,406,8193,1,4555,0
18,312,5499,0,4075,-2
20,411,8346,1,5275,0
29,852,24859,1,6274,9
13,160,2031,0,4849,-7
19,360,6841,0,4259,-1
18,338,6224,0,4889,-2
16,246,3855,0,3836,-4
28,803,22773,1,4294,8
19,346,6426,0,2939,-1
